Time,Wave Gen Out,In EncoderPos,In Pressure1 Raw,In Pressure2 Raw,In Pressure3 Raw,In Pressure4 Raw,In Pressure5 Raw,Spl Loop Demand,In SpoolPos,CAN Sys PDO3 Input4,CAN Sys PDO4 Input1,CAN Sys PDO4 Input2,CAN Sys PDO4 Input3,CAN Sys PDO4 Input4,In Pressure1,In Pressure2,In Pressure3,In Pressure4,In Pressure5
0.0000,-1.098943829536438,0.3250007629394531,2098.0,2054.0,2189.0,2170.0,2049.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.4766000000000001,2.9364,0.245,98.43900000000001
0.0010,-1.0364607572555542,0.3250007629394531,2095.0,2054.0,2192.0,2170.0,2050.0,-1.69140625,0.4140625,0.0,0.0,0.0,0.0,0.0,0.9624,1.4766000000000001,3.6705,0.245,103.62
0.0020,-0.9739367961883545,0.3250007629394531,2096.0,2053.0,2190.0,2170.0,2049.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.203,1.2305000000000001,3.1811,0.245,98.43900000000001
0.0030,-0.9113743305206299,0.3250007629394531,2097.0,2054.0,2190.0,2171.0,2049.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.4436,1.4766000000000001,3.1811,0.49,98.43900000000001
0.0040,-0.8487759828567505,0.3250007629394531,2099.0,2056.0,2190.0,2172.0,2052.0,-1.69140625,0.2890625,0.0,0.0,0.0,0.0,0.0,1.9248,1.9688,3.1811,0.735,113.982
0.0050,-0.7861440181732178,0.3250007629394531,2096.0,2054.0,2190.0,2170.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.203,1.4766000000000001,3.1811,0.245,103.62
0.0060,-0.7234857082366943,0.3250007629394531,2096.0,2054.0,2189.0,2170.0,2049.0,-1.69140625,0.9140625,0.0,0.0,0.0,0.0,0.0,1.203,1.4766000000000001,2.9364,0.245,98.43900000000001
0.0070,-0.6607941389083862,0.3250007629394531,2096.0,2056.0,2192.0,2172.0,2052.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.203,1.9688,3.6705,0.735,113.982
0.0080,-0.5980765223503113,0.3250007629394531,2098.0,2056.0,2191.0,2171.0,2051.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.9688,3.4258,0.49,108.801
0.0090,-0.5353352427482605,0.3250007629394531,2099.0,2053.0,2190.0,2169.0,2050.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.9248,1.2305000000000001,3.1811,0.0,103.62
0.0100,-0.47257286310195923,0.3250007629394531,2098.0,2054.0,2192.0,2171.0,2049.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.4766000000000001,3.6705,0.49,98.43900000000001
0.0110,-0.4097917675971985,0.3250007629394531,2098.0,2056.0,2191.0,2172.0,2052.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.9688,3.4258,0.735,113.982
0.0120,-0.3469945192337036,0.3250007629394531,2098.0,2054.0,2190.0,2172.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.4766000000000001,3.1811,0.735,103.62
0.0130,-0.2841835618019104,0.3250007629394531,2098.0,2052.0,2191.0,2171.0,2049.0,-1.69140625,0.4140625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,0.9844,3.4258,0.49,98.43900000000001
0.0140,-0.22136135399341583,0.3250007629394531,2097.0,2053.0,2190.0,2171.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.4436,1.2305000000000001,3.1811,0.49,103.62
0.0150,-0.15853044390678406,0.3250007629394531,2097.0,2053.0,2191.0,2171.0,2049.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.4436,1.2305000000000001,3.4258,0.49,98.43900000000001
0.0160,-0.09569323807954788,0.3250007629394531,2096.0,2052.0,2191.0,2170.0,2049.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.203,0.9844,3.4258,0.245,98.43900000000001
0.0170,-0.03285227343440056,0.3250007629394531,2097.0,2053.0,2189.0,2170.0,2048.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.4436,1.2305000000000001,2.9364,0.245,93.258
0.0180,0.02998630702495575,0.3250007629394531,2097.0,2054.0,2190.0,2170.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.4436,1.4766000000000001,3.1811,0.245,103.62
0.0190,0.09281685948371887,0.3250007629394531,2096.0,2054.0,2190.0,2171.0,2050.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.203,1.4766000000000001,3.1811,0.49,103.62
0.0200,0.1556437611579895,0.3250007629394531,2098.0,2053.0,2192.0,2170.0,2050.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.2305000000000001,3.6705,0.245,103.62
0.0210,0.21846455335617065,0.3250007629394531,2096.0,2054.0,2191.0,2170.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.203,1.4766000000000001,3.4258,0.245,103.62
0.0220,0.2812766432762146,0.3250007629394531,2093.0,2054.0,2188.0,2170.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,0.4812,1.4766000000000001,2.6917,0.245,103.62
0.0230,0.34407758712768555,0.3250007629394531,2097.0,2053.0,2191.0,2171.0,2049.0,-1.69140625,0.4140625,0.0,0.0,0.0,0.0,0.0,1.4436,1.2305000000000001,3.4258,0.49,98.43900000000001
0.0240,0.40686488151550293,0.3250007629394531,2096.0,2055.0,2190.0,2172.0,2051.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.203,1.7227000000000001,3.1811,0.735,108.801
0.0250,0.4696361720561981,0.3250007629394531,2099.0,2054.0,2190.0,2172.0,2050.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.9248,1.4766000000000001,3.1811,0.735,103.62
0.0260,0.5323889255523682,0.3250007629394531,2099.0,2053.0,2191.0,2172.0,2050.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.9248,1.2305000000000001,3.4258,0.735,103.62
0.0270,0.5951206088066101,0.3250007629394531,2097.0,2053.0,2190.0,2171.0,2049.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.4436,1.2305000000000001,3.1811,0.49,98.43900000000001
0.0280,0.6578289270401001,0.3250007629394531,2096.0,2055.0,2193.0,2171.0,2051.0,-1.69140625,0.4140625,0.0,0.0,0.0,0.0,0.0,1.203,1.7227000000000001,3.9152,0.49,108.801
0.0290,0.7205110788345337,0.3250007629394531,2099.0,2054.0,2191.0,2170.0,2050.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.9248,1.4766000000000001,3.4258,0.245,103.62
0.0300,0.7831648588180542,0.3250007629394531,2097.0,2052.0,2190.0,2171.0,2050.0,-1.69140625,0.7890625,0.0,0.0,0.0,0.0,0.0,1.4436,0.9844,3.1811,0.49,103.62
0.0310,0.8457878232002258,0.3250007629394531,2099.0,2053.0,2192.0,2172.0,2049.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.9248,1.2305000000000001,3.6705,0.735,98.43900000000001
0.0320,0.9083772301673889,0.3250007629394531,2099.0,2055.0,2192.0,2172.0,2050.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.9248,1.7227000000000001,3.6705,0.735,103.62
0.0330,0.9709309339523315,0.3250007629394531,2098.0,2055.0,2189.0,2173.0,2051.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,1.7227000000000001,2.9364,0.98,108.801
0.0340,1.0334463119506836,0.3250007629394531,2100.0,2054.0,2192.0,2170.0,2049.0,-1.69140625,0.4140625,0.0,0.0,0.0,0.0,0.0,2.1654,1.4766000000000001,3.6705,0.245,98.43900000000001
0.0350,1.0959206819534302,0.3250007629394531,2096.0,2054.0,2190.0,2171.0,2050.0,-1.69140625,0.9140625,0.0,0.0,0.0,0.0,0.0,1.203,1.4766000000000001,3.1811,0.49,103.62
0.0360,1.158352017402649,0.3250007629394531,2099.0,2053.0,2192.0,2171.0,2051.0,-1.69140625,0.2890625,0.0,0.0,0.0,0.0,0.0,1.9248,1.2305000000000001,3.6705,0.49,108.801
0.0370,1.2207374572753906,0.3250007629394531,2098.0,2052.0,2192.0,2172.0,2049.0,-1.69140625,0.5390625,0.0,0.0,0.0,0.0,0.0,1.6842000000000001,0.9844,3.6705,0.735,98.43900000000001
0.0380,1.2830748558044434,0.3250007629394531,2099.0,2053.0,2192.0,2173.0,2050.0,-1.69140625,0.6640625,0.0,0.0,0.0,0.0,0.0,1.9248,1.2305000000000001,3.6705,0.98,103.62
